portefeuille,entreprise,cik,titre,classes
P1,Advanced Micro Devices,0000002488,AMD,1
P2,Advanced Micro Devices,0000002488,AMD,1
P5,Advanced Micro Devices,0000002488,AMD,1
P1,Air Products,0000002969,APD,1
P2,Air Products,0000002969,APD,1
P10,Air Products,0000002969,APD,1
P1,Skyworks Solutions,0000004127,SWKS,1
P2,Skyworks Solutions,0000004127,SWKS,1
P5,Skyworks Solutions,0000004127,SWKS,1
P1,Howmet Aerospace,0000004281,HWM,1
P2,Howmet Aerospace,0000004281,HWM,1
P7,Howmet Aerospace,0000004281,HWM,1
P1,American Electric Power,0000004904,AEP,1
P3,American Electric Power,0000004904,AEP,1
P6,American Electric Power,0000004904,AEP,1
P1,Analog Devices,0000006281,ADI,1
P2,Analog Devices,0000006281,ADI,1
P5,Analog Devices,0000006281,ADI,1
P1,Applied Materials,0000006951,AMAT,1
P2,Applied Materials,0000006951,AMAT,1
P9,Applied Materials,0000006951,AMAT,1
P1,Caterpillar Inc.,0000018230,CAT,1
P2,Caterpillar Inc.,0000018230,CAT,1
P7,Caterpillar Inc.,0000018230,CAT,1
P1,Corning Inc.,0000024741,GLW,1
P2,Corning Inc.,0000024741,GLW,1
P5,Corning Inc.,0000024741,GLW,1
P1,Cummins,0000026172,CMI,1
P2,Cummins,0000026172,CMI,1
P7,Cummins,0000026172,CMI,1
P1,Dover Corporation,0000029905,DOV,1
P2,Dover Corporation,0000029905,DOV,1
P7,Dover Corporation,0000029905,DOV,1
P1,Ecolab,0000031462,ECL,1
P2,Ecolab,0000031462,ECL,1
P5,Ecolab,0000031462,ECL,1
P1,Emerson Electric,0000032604,EMR,1
P2,Emerson Electric,0000032604,EMR,1
P7,Emerson Electric,0000032604,EMR,1
P1,General Dynamics,0000040533,GD,1
P2,General Dynamics,0000040533,GD,1
P7,General Dynamics,0000040533,GD,1
P1,Halliburton,0000045012,HAL,1
P3,Halliburton,0000045012,HAL,1
P10,Halliburton,0000045012,HAL,1
P1,Hubbell Incorporated,0000048898,HUBB,1
P2,Hubbell Incorporated,0000048898,HUBB,1
P7,Hubbell Incorporated,0000048898,HUBB,1
P1,Illinois Tool Works,0000049826,ITW,1
P2,Illinois Tool Works,0000049826,ITW,1
P7,Illinois Tool Works,0000049826,ITW,1
P1,Intel,0000050863,INTC,1
P2,Intel,0000050863,INTC,1
P5,Intel,0000050863,INTC,1
P1,IBM,0000051143,IBM,1
P2,IBM,0000051143,IBM,1
P5,IBM,0000051143,IBM,1
P1,Entergy,0000065984,ETR,1
P3,Entergy,0000065984,ETR,1
P6,Entergy,0000065984,ETR,1
P1,3M,0000066740,MMM,1
P2,3M,0000066740,MMM,1
P7,3M,0000066740,MMM,1
P1,Nordson Corporation,0000072331,NDSN,1
P2,Nordson Corporation,0000072331,NDSN,1
P7,Nordson Corporation,0000072331,NDSN,1
P1,Xcel Energy,0000072903,XEL,1
P2,Xcel Energy,0000072903,XEL,1
P6,Xcel Energy,0000072903,XEL,1
P1,Nucor,0000073309,NUE,1
P2,Nucor,0000073309,NUE,1
P10,Nucor,0000073309,NUE,1
P1,Parker Hannifin,0000076334,PH,1
P2,Parker Hannifin,0000076334,PH,1
P7,Parker Hannifin,0000076334,PH,1
P1,Schlumberger,0000087347,SLB,1
P2,Schlumberger,0000087347,SLB,1
P10,Schlumberger,0000087347,SLB,1
P1,Southern Company,0000092122,SO,1
P3,Southern Company,0000092122,SO,1
P6,Southern Company,0000092122,SO,1
P1,Chevron Corporation,0000093410,CVX,1
P3,Chevron Corporation,0000093410,CVX,1
P10,Chevron Corporation,0000093410,CVX,1
P1,Teradyne,0000097210,TER,1
P2,Teradyne,0000097210,TER,1
P9,Teradyne,0000097210,TER,1
P1,Texas Instruments,0000097476,TXN,1
P2,Texas Instruments,0000097476,TXN,1
P5,Texas Instruments,0000097476,TXN,1
P1,Emcor,0000105634,EME,1
P2,Emcor,0000105634,EME,1
P7,Emcor,0000105634,EME,1
P1,Western Digital,0000106040,WDC,1
P2,Western Digital,0000106040,WDC,1
P5,Western Digital,0000106040,WDC,1
P1,Williams Companies,0000107263,WMB,1
P3,Williams Companies,0000107263,WMB,1
P10,Williams Companies,0000107263,WMB,1
P1,KLA Corporation,0000319201,KLAC,1
P2,KLA Corporation,0000319201,KLAC,1
P9,KLA Corporation,0000319201,KLAC,1
P1,Alliant Energy,0000352541,LNT,1
P2,Alliant Energy,0000352541,LNT,1
P6,Alliant Energy,0000352541,LNT,1
P1,Home Depot (The),0000354950,HD,1
P2,Home Depot (The),0000354950,HD,1
P10,Home Depot (The),0000354950,HD,1
P1,Lam Research,0000707549,LRCX,1
P2,Lam Research,0000707549,LRCX,1
P9,Lam Research,0000707549,LRCX,1
P1,Dominion Energy,0000715957,D,1
P2,Dominion Energy,0000715957,D,1
P6,Dominion Energy,0000715957,D,1
P1,Micron Technology,0000723125,MU,1
P2,Micron Technology,0000723125,MU,1
P5,Micron Technology,0000723125,MU,1
P1,Realty Income,0000726728,O,1
P3,Realty Income,0000726728,O,1
P8,Realty Income,0000726728,O,1
P1,Expeditors International,0000746515,EXPD,1
P2,Expeditors International,0000746515,EXPD,1
P7,Expeditors International,0000746515,EXPD,1
P1,NextEra Energy,0000753308,NEE,1
P3,NextEra Energy,0000753308,NEE,1
P6,NextEra Energy,0000753308,NEE,1
P1,Pinnacle West Capital,0000764622,PNW,1
P2,Pinnacle West Capital,0000764622,PNW,1
P6,Pinnacle West Capital,0000764622,PNW,1
P1,WEC Energy Group,0000783325,WEC,1
P3,WEC Energy Group,0000783325,WEC,1
P6,WEC Energy Group,0000783325,WEC,1
P1,Microsoft,0000789019,MSFT,1
P2,Microsoft,0000789019,MSFT,1
P4,Microsoft,0000789019,MSFT,1
P1,Qualcomm,0000804328,QCOM,1
P3,Qualcomm,0000804328,QCOM,1
P5,Qualcomm,0000804328,QCOM,1
P1,CMS Energy,0000811156,CMS,1
P3,CMS Energy,0000811156,CMS,1
P6,CMS Energy,0000811156,CMS,1
P1,Cadence Design Systems,0000813672,CDNS,1
P2,Cadence Design Systems,0000813672,CDNS,1
P9,Cadence Design Systems,0000813672,CDNS,1
P1,Fastenal,0000815556,FAST,1
P2,Fastenal,0000815556,FAST,1
P7,Fastenal,0000815556,FAST,1
P1,Amphenol,0000820313,APH,1
P2,Amphenol,0000820313,APH,1
P5,Amphenol,0000820313,APH,1
P1,Coherent Corp.,0000820318,COHR,1
P2,Coherent Corp.,0000820318,COHR,1
P5,Coherent Corp.,0000820318,COHR,1
P1,Microchip Technology,0000827054,MCHP,1
P2,Microchip Technology,0000827054,MCHP,1
P5,Microchip Technology,0000827054,MCHP,1
P1,IDEX Corporation,0000832101,IEX,1
P2,IDEX Corporation,0000832101,IEX,1
P7,IDEX Corporation,0000832101,IEX,1
P1,Johnson Controls,0000833444,JCI,1
P2,Johnson Controls,0000833444,JCI,1
P7,Johnson Controls,0000833444,JCI,1
P1,CRH plc,0000849395,CRH,1
P2,CRH plc,0000849395,CRH,1
P10,CRH plc,0000849395,CRH,1
P1,Cisco,0000858877,CSCO,1
P2,Cisco,0000858877,CSCO,1
P5,Cisco,0000858877,CSCO,1
P1,Flex Ltd.,0000866374,FLEX,1
P2,Flex Ltd.,0000866374,FLEX,1
P9,Flex Ltd.,0000866374,FLEX,1
P1,AES Corporation,0000874761,AES,1
P2,AES Corporation,0000874761,AES,1
P6,AES Corporation,0000874761,AES,1
P1,Synopsys,0000883241,SNPS,1
P2,Synopsys,0000883241,SNPS,1
P9,Synopsys,0000883241,SNPS,1
P1,Jabil,0000898293,JBL,1
P2,Jabil,0000898293,JBL,1
P9,Jabil,0000898293,JBL,1
P1,Martin Marietta Materials,0000916076,MLM,1
P2,Martin Marietta Materials,0000916076,MLM,1
P10,Martin Marietta Materials,0000916076,MLM,1
P1,PPL Corporation,0000922224,PPL,1
P3,PPL Corporation,0000922224,PPL,1
P6,PPL Corporation,0000922224,PPL,1
P1,DTE Energy,0000936340,DTE,1
