symbole,date,annonce,mesure,ecart,avant_fin,apres_fin,avant_depose,apres_depose
AME,2010-12-22,1.5,1.5068442079247042,0.004562805283136129,2010-10-28,2011-01-31,2010-11-04,2011-02-24
AME,2012-07-02,1.5,1.5088988063138942,0.005932537542596039,2012-04-26,2012-07-25,2012-05-03,2012-08-02
AMZN,2022-06-06,20.0,20.025839726315244,0.0012919863157621059,2022-04-20,2022-07-20,2022-04-29,2022-07-29
ANET,2021-11-18,4.0,4.006287325863621,0.0015718314659052268,2021-10-27,2022-02-08,2021-11-02,2022-02-15
ANET,2024-12-04,4.0,4.00432801329262,0.0010820033231548898,2024-11-04,2025-02-12,2024-11-08,2025-02-19
APD,2016-10-03,1.081,,,,,,
APH,2014-10-10,2.0,1.9733063280929093,0.013346835953545355,2014-07-31,2014-10-31,2014-08-06,2014-11-05
APH,2021-03-05,2.0,1.9948670843108363,0.002566457844581871,2021-01-31,2021-04-27,2021-02-10,2021-04-30
APH,2024-06-12,2.0,2.005129681573671,0.0025648407868354983,2024-04-23,2024-07-23,2024-04-26,2024-07-26
APH,2026-09-03,2.0,,,,,,
AVGO,2024-07-15,10.0,10.033711568057337,0.0033711568057337438,2024-05-31,2024-08-30,2024-06-13,2024-09-11
BRK-B,2010-01-21,50.0,1.0443568073695884,0.9791128638526082,2009-10-29,2010-02-18,2009-11-06,2010-03-01
COHR,2011-06-27,2.0,2.006421613101915,0.0032108065509575123,2011-05-02,2011-08-19,2011-05-09,2011-08-26
DELL,2018-12-28,1.806,,,,,,
DELL,2021-11-02,1.973,,,,,,
DOV,2014-03-03,1.205,0.9792431329579405,0.1873500971303399,2014-02-06,2014-04-10,2014-02-14,2014-04-17
DOV,2018-05-09,1.238,0.954911651276728,0.22866587134351535,2018-04-20,2018-07-12,2018-04-27,2018-07-19
DTE,2021-07-01,1.175,0.9999995715628419,0.14893653484013458,2021-03-31,2021-09-30,2021-04-27,2021-10-27
DUK,2012-07-03,0.3333333333333333,0.5262991171587537,0.578897351476261,2012-04-30,2012-10-31,2012-05-09,2012-11-08
ETN,2011-03-01,2.0,,,,,,
ETR,2024-12-13,2.0,2.0074463261433877,0.003723163071693847,2024-09-30,2025-01-31,2024-11-01,2025-02-18
FAST,2011-05-23,2.0,2.0017628620012364,0.0008814310006182158,2011-04-19,2011-07-11,2011-04-21,2011-07-21
FAST,2019-05-23,2.0,2.002796886279269,0.0013984431396345531,2019-04-10,2019-07-10,2019-04-16,2019-07-16
FAST,2025-05-22,2.0,2.0006892028874317,0.0003446014437158418,2025-04-10,2025-07-11,2025-04-16,2025-07-17
FLEX,2024-01-03,1.327,0.9685117450215873,0.27014940088802764,2023-10-20,2024-01-26,2023-10-30,2024-02-02
GOOG,2014-03-27,2.002,,,,,,
GOOG,2015-04-27,1.0027455,,,,,,
GOOG,2022-07-18,20.0,,,,,,
GOOGL,2014-04-03,1.998,,,,,,
GOOGL,2022-07-18,20.0,,,,,,
HPE,2017-04-03,1.3348,0.9909065379812473,0.2576366961483014,2017-02-28,2017-05-31,2017-03-09,2017-06-08
HPE,2017-09-01,1.289,0.9703252412490444,0.2472263450356521,2017-05-31,2017-11-30,2017-06-08,2017-12-15
IBM,2021-11-04,1.046,1.003335764856847,0.04078798770855929,2021-06-30,2022-02-11,2021-07-27,2022-02-22
IRM,2014-09-26,1.082,1.0030543763278368,0.0729626836156777,2014-07-25,2014-10-24,2014-07-31,2014-10-31
JCI,2012-10-01,2.011667672500503,1.0127037743806055,0.496584953755401,2012-07-26,2012-11-13,2012-07-31,2012-11-16
JCI,2016-09-06,0.955,2.197711293685844,1.3012683703516692,2016-07-22,2016-10-31,2016-07-29,2016-11-23
KLAC,2026-06-12,10.0,10.00207898762773,0.00020789876277294006,2026-04-27,2026-08-03,2026-04-30,2026-08-06
LDOS,2013-09-30,0.405,,,,,,
LNT,2016-05-20,2.0,2.001835497834583,0.000917748917291572,2016-03-31,2016-06-30,2016-05-05,2016-08-02
LRCX,2024-10-03,10.0,9.907026702393052,0.00929732976069475,2024-08-22,2024-10-24,2024-08-29,2024-10-28
MCHP,2021-10-13,2.0,2.0247787394644416,0.012389369732220823,2021-07-28,2021-10-28,2021-08-03,2021-11-04
MMM,2024-04-01,1.196,0.9939453971413064,0.1689419756343592,2024-01-31,2024-06-30,2024-02-07,2024-07-26
NDAQ,2022-08-29,3.0,,,,,,
NDSN,2011-04-13,2.0,,,,,,
NEE,2020-10-27,4.0,,,,,,
NI,2015-07-02,2.545,1.0015166309965593,0.6064767658166761,2015-04-23,2015-07-30,2015-04-30,2015-08-03
NOW,2025-12-18,5.0,,,,,,
NVDA,2021-07-20,4.0,4.012841091492777,0.0032102728731941976,2021-05-21,2021-08-13,2021-05-26,2021-08-20
NVDA,2024-06-10,10.0,9.971544715447154,0.0028455284552846294,2024-05-24,2024-08-23,2024-05-29,2024-08-28
O,2021-11-15,1.032,1.4628938769799331,0.4175328265309428,2021-10-29,2022-02-11,2021-11-02,2022-02-23
PPL,2015-06-02,1.0736525660296328,1.002787709616346,0.06600352726333525,2015-04-30,2015-07-24,2015-05-07,2015-08-03
SMCI,2024-10-01,10.0,10.135187013396473,0.013518701339647388,2024-04-30,2025-01-31,2024-05-06,2025-02-25
SRE,2023-08-22,2.0,2.000066511243882,3.3255621940897484e-05,2023-07-31,2023-10-31,2023-08-03,2023-11-03
TPL,2024-03-27,3.0,2.997977289199786,0.0006742369334046261,2024-02-14,2024-04-30,2024-02-21,2024-05-08
TPL,2025-12-23,3.0,3.0001446512334304,4.821707781021978e-05,2025-10-31,2026-02-09,2025-11-05,2026-02-18
TSLA,2020-08-31,5.0,5.086348754894018,0.017269750978803566,2020-07-20,2020-10-20,2020-07-28,2020-10-26
TSLA,2022-08-25,3.0,3.0232480958661916,0.007749365288730603,2022-07-19,2022-10-18,2022-07-25,2022-10-24
TT,2013-12-02,1.252,0.9651116538854565,0.22914404641736696,2013-10-11,2014-02-03,2013-10-23,2014-02-14
TT,2020-03-02,1.289,1.0033846120121468,0.22157904421090235,2020-02-01,2020-04-17,2020-02-18,2020-05-05
WDC,2025-02-24,1.323,1.0030316001687543,0.24185064235165965,2025-01-22,2025-04-25,2025-01-31,2025-05-02
WEC,2011-03-02,2.0,1.99996224183141,1.887908429498708e-05,2011-01-31,2011-03-31,2011-02-25,2011-05-05
WMB,2012-01-03,1.2266928361138372,1.0047006026137713,0.18096806874925375,2011-10-31,2012-02-22,2011-11-02,2012-02-28
