cik,nom,symboles,secteur,canal,degre,annee_recente,fin_exercice_recent,ca_md,mult_ventes,base_annees_ventes,base_periodes_ventes,base_n_ventes,base_repli_ventes,statut_ventes,fin_ventes,source_ventes,capex_md,mult_capex,base_annees_capex,base_periodes_capex,base_n_capex,base_repli_capex,statut_capex,fin_capex,source_capex,rd_md,mult_recherche,base_annees_recherche,base_periodes_recherche,base_n_recherche,base_repli_recherche,statut_recherche,fin_recherche,source_recherche,nb_multiples,couverture_comptes,motif_couverture,base_repli_utilisee,mult_depenses,corroboration
0000874761,AES Corporation,AES,Utilities,fournit,non_quantifie,2025,2025-12-31,12.233,1.1667143538388174,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/0000874761-26-000063-index.htm,5.929,2.653587945695957,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/0000874761-26-000063-index.htm,,,,,0,,valeur_recente_manquante,,,2,observation partielle,rd: valeur_recente_manquante,,2.653587945695957,doublement observe
0000002488,Advanced Micro Devices,AMD,Information Technology,vend,non_quantifie,2025,2025-12-27,34.639,5.245948811146449,2018;2019,2017-12-31/2018-12-29;2018-12-30/2019-12-28,2,,comparable_sur_reference,2025-12-27,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,0.974,,,,0,,recent_non_reconcilie,2025-12-27,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,8.091,5.8111084510414175,2017;2018;2019,2017-01-01/2017-12-30;2017-12-31/2018-12-29;2018-12-30/2019-12-28,3,,comparable_sur_reference,2025-12-27,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,2,observation partielle,capex: recent_non_reconcilie,,5.8111084510414175,doublement observe
0001086222,Akamai Technologies,AKAM,Information Technology,vend,non_quantifie,2025,2025-12-31,4.208175,,,,0,,recent_non_reconcilie,2025-12-31,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/0001086222-26-000022-index.htm,0.507786,1.8322320073320166,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/0001086222-26-000022-index.htm,0.51356,2.110624633543572,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/0001086222-26-000022-index.htm,2,observation partielle,chiffre_affaires: recent_non_reconcilie,,2.110624633543572,doublement observe
0001652044,Alphabet Inc. (Class A),GOOG|GOOGL,Communication Services,depense et vend,non_quantifie,2025,2025-12-31,402.836,5.714391091566778,2014;2015,2014-01-01/2014-12-31;2015-01-01/2015-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.htm,91.447,4.434080587027848,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.htm,61.087,2.8606818394680156,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.htm,3,trois mesures comparables,,oui,4.434080587027848,doublement observe
0001018724,Amazon,AMZN,Consumer Discretionary,depense et vend,non_quantifie,2025,2025-12-31,716.924,2.7927987238244754,2018;2019,2018-01-01/2018-12-31;2019-01-01/2019-12-31,2,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/0001018724-26-000004-index.htm,131.819,9.361480008522122,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/0001018724-26-000004-index.htm,,,,,0,,valeur_recente_manquante,,,2,observation partielle,rd: valeur_recente_manquante,,9.361480008522122,doublement observe
0000820313,Amphenol,APH,Information Technology,vend,non_quantifie,2025,2025-12-31,23.0947,2.955970254322979,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465926013549/0001104659-26-013549-index.htm,0.9966,3.592645998558039,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465926013549/0001104659-26-013549-index.htm,0.647,2.991676942046856,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465926013549/0001104659-26-013549-index.htm,3,trois mesures comparables,,,3.592645998558039,doublement observe
0000006281,Analog Devices,ADI,Information Technology,vend,non_quantifie,2025,2025-11-01,11.019707,1.9009128850733918,2019;2020,2018-11-04/2019-11-02;2019-11-03/2020-10-31,2,oui,comparable_sur_repli,2025-11-01,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/0000006281-25-000153-index.htm,0.533552,2.1797027559215953,2017;2018;2019,2016-10-30/2017-10-28;2017-10-29/2018-11-03;2018-11-04/2019-11-02,3,,comparable_sur_reference,2025-11-01,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/0000006281-25-000153-index.htm,1.766001,1.623397439825857,2017;2018;2019,2016-10-30/2017-10-28;2017-10-29/2018-11-03;2018-11-04/2019-11-02,3,,comparable_sur_reference,2025-11-01,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/0000006281-25-000153-index.htm,3,trois mesures comparables,,oui,2.1797027559215953,doublement observe
0000006951,Applied Materials,AMAT,Information Technology,fournit,non_quantifie,2025,2025-10-26,28.368,1.8118992111902406,2018;2019,2017-10-30/2018-10-28;2018-10-29/2019-10-27,2,,comparable_sur_reference,2025-10-26,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/0001628280-25-056742-index.htm,2.26,4.815340909090909,2017;2018;2019,2016-10-31/2017-10-29;2017-10-30/2018-10-28;2018-10-29/2019-10-27,3,,comparable_sur_reference,2025-10-26,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/0001628280-25-056742-index.htm,3.57,1.828581184906949,2017;2018;2019,2016-10-31/2017-10-29;2017-10-30/2018-10-28;2018-10-29/2019-10-27,3,,comparable_sur_reference,2025-10-26,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/0001628280-25-056742-index.htm,3,trois mesures comparables,,,4.815340909090909,doublement observe
0001596532,Arista Networks,ANET,Information Technology,vend,non_quantifie,2025,2025-12-31,9.0057,3.948071875188374,2018;2019,2018-01-01/2018-12-31;2019-01-01/2019-12-31,2,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/0001596532-26-000013-index.htm,0.1195,2.983025461807289,2020;2021,2020-01-01/2020-12-31;2021-01-01/2021-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/0001596532-26-000013-index.htm,1.2373,2.958111156890106,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/0001596532-26-000013-index.htm,3,trois mesures comparables,,oui,2.983025461807289,doublement observe
0001730168,Broadcom,AVGO,Information Technology,vend,non_quantifie,2025,2025-11-02,63.887,3.1378169971022087,2017;2018;2019,2016-10-31/2017-10-29;2017-10-30/2018-11-04;2018-11-05/2019-11-03,3,,comparable_sur_reference,2025-11-02,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,0.623,0.875,2017;2018;2019,2016-10-31/2017-10-29;2017-10-30/2018-11-04;2018-11-05/2019-11-03,3,,comparable_sur_reference,2025-11-02,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,10.977,2.7988271290158084,2017;2018;2019,2016-10-31/2017-10-29;2017-10-30/2018-11-04;2018-11-05/2019-11-03,3,,comparable_sur_reference,2025-11-02,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,3,trois mesures comparables,,,2.7988271290158084,doublement observe
