cik,nom,metrique,annee_recente,valeur_recente,debut_recent,fin_recent,depot_recent,source_recente,etiquette_recente,perimetre_id,base_annees,base_n,base_moyenne,base_periodes,base_repli,base_observations,multiple,statut_comparaison,motif
0000002488,Advanced Micro Devices,chiffre_affaires,2025,34639000000.0,2024-12-29,2025-12-27,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,RevenueFromContractWithCustomerExcludingAssessedTax,0000002488:chiffre_affaires:RevenueFromContractWithCustomerExcludingAssessedTax,2018;2019,2,6603000000.0,2017-12-31/2018-12-29;2018-12-30/2019-12-28,False,"[{""annee"": 2018, ""valeur"": 6475000000.0, ""debut"": ""2017-12-31"", ""fin"": ""2018-12-29"", ""depot"": ""0001628280-21-001185"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/0001628280-21-001185-index.htm"", ""perimetre_id"": ""0000002488:chiffre_affaires:RevenueFromContractWithCustomerExcludingAssessedTax""}, {""annee"": 2019, ""valeur"": 6731000000.0, ""debut"": ""2018-12-30"", ""fin"": ""2019-12-28"", ""depot"": ""0000002488-22-000016"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm"", ""perimetre_id"": ""0000002488:chiffre_affaires:RevenueFromContractWithCustomerExcludingAssessedTax""}]",5.245948811146449,comparable_sur_reference,
0000002488,Advanced Micro Devices,capex,2025,974000000.0,2024-12-29,2025-12-27,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,PaymentsToAcquirePropertyPlantAndEquipment,0000002488:capex:PaymentsToAcquirePropertyPlantAndEquipment,,0,,,False,[],,recent_non_reconcilie,Postes de dépenses non équivalents ; préférence non réconciliée
0000002488,Advanced Micro Devices,rd,2025,8091000000.0,2024-12-29,2025-12-27,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,ResearchAndDevelopmentExpense,0000002488:rd:ResearchAndDevelopmentExpense,2017;2018;2019,3,1392333333.3333333,2017-01-01/2017-12-30;2017-12-31/2018-12-29;2018-12-30/2019-12-28,False,"[{""annee"": 2017, ""valeur"": 1196000000.0, ""debut"": ""2017-01-01"", ""fin"": ""2017-12-30"", ""depot"": ""0000002488-20-000008"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/0000002488-20-000008-index.htm"", ""perimetre_id"": ""0000002488:rd:ResearchAndDevelopmentExpense""}, {""annee"": 2018, ""valeur"": 1434000000.0, ""debut"": ""2017-12-31"", ""fin"": ""2018-12-29"", ""depot"": ""0001628280-21-001185"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/0001628280-21-001185-index.htm"", ""perimetre_id"": ""0000002488:rd:ResearchAndDevelopmentExpense""}, {""annee"": 2019, ""valeur"": 1547000000.0, ""debut"": ""2018-12-30"", ""fin"": ""2019-12-28"", ""depot"": ""0000002488-22-000016"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm"", ""perimetre_id"": ""0000002488:rd:ResearchAndDevelopmentExpense""}]",5.8111084510414175,comparable_sur_reference,
0000004127,Skyworks Solutions,chiffre_affaires,2025,4086900000.0,2024-09-28,2025-10-03,0000004127-25-000085,https://www.sec.gov/Archives/edgar/data/4127/000000412725000085/0000004127-25-000085-index.htm,RevenueFromContractWithCustomerExcludingAssessedTax,0000004127:chiffre_affaires:RevenueFromContractWithCustomerExcludingAssessedTax,2017;2018;2019,3,3632066666.6666665,2016-10-01/2017-09-29;2017-09-30/2018-09-28;2018-09-29/2019-09-27,False,"[{""annee"": 2017, ""valeur"": 3651400000.0, ""debut"": ""2016-10-01"", ""fin"": ""2017-09-29"", ""depot"": ""0000004127-19-000049"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4127/000000412719000049/0000004127-19-000049-index.htm"", ""perimetre_id"": ""0000004127:chiffre_affaires:RevenueFromContractWithCustomerExcludingAssessedTax""}, {""annee"": 2018, ""valeur"": 3868000000.0, ""debut"": ""2017-09-30"", ""fin"": ""2018-09-28"", ""depot"": ""0000004127-20-000058"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4127/000000412720000058/0000004127-20-000058-index.htm"", ""perimetre_id"": ""0000004127:chiffre_affaires:RevenueFromContractWithCustomerExcludingAssessedTax""}, {""annee"": 2019, ""valeur"": 3376800000.0, ""debut"": ""2018-09-29"", ""fin"": ""2019-09-27"", ""depot"": ""0000004127-21-000058"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/0000004127-21-000058-index.htm"", ""perimetre_id"": ""0000004127:chiffre_affaires:RevenueFromContractWithCustomerExcludingAssessedTax""}]",1.1252271434077936,comparable_sur_reference,
0000004127,Skyworks Solutions,capex,2025,195000000.0,2024-09-28,2025-10-03,0000004127-25-000085,https://www.sec.gov/Archives/edgar/data/4127/000000412725000085/0000004127-25-000085-index.htm,PaymentsToAcquirePropertyPlantAndEquipment,0000004127:capex:PaymentsToAcquirePropertyPlantAndEquipment,2018;2019,2,410350000.0,2017-09-30/2018-09-28;2018-09-29/2019-09-27,False,"[{""annee"": 2018, ""valeur"": 422300000.0, ""debut"": ""2017-09-30"", ""fin"": ""2018-09-28"", ""depot"": ""0000004127-20-000058"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4127/000000412720000058/0000004127-20-000058-index.htm"", ""perimetre_id"": ""0000004127:capex:PaymentsToAcquirePropertyPlantAndEquipment""}, {""annee"": 2019, ""valeur"": 398400000.0, ""debut"": ""2018-09-29"", ""fin"": ""2019-09-27"", ""depot"": ""0000004127-21-000058"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/0000004127-21-000058-index.htm"", ""perimetre_id"": ""0000004127:capex:PaymentsToAcquirePropertyPlantAndEquipment""}]",0.4752040940660412,comparable_sur_reference,
0000004127,Skyworks Solutions,rd,2025,785500000.0,2024-09-28,2025-10-03,0000004127-25-000085,https://www.sec.gov/Archives/edgar/data/4127/000000412725000085/0000004127-25-000085-index.htm,ResearchAndDevelopmentExpense,0000004127:rd:ResearchAndDevelopmentExpense,2017;2018;2019,3,394600000.0,2016-10-01/2017-09-29;2017-09-30/2018-09-28;2018-09-29/2019-09-27,False,"[{""annee"": 2017, ""valeur"": 355200000.0, ""debut"": ""2016-10-01"", ""fin"": ""2017-09-29"", ""depot"": ""0000004127-19-000049"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4127/000000412719000049/0000004127-19-000049-index.htm"", ""perimetre_id"": ""0000004127:rd:ResearchAndDevelopmentExpense""}, {""annee"": 2018, ""valeur"": 404500000.0, ""debut"": ""2017-09-30"", ""fin"": ""2018-09-28"", ""depot"": ""0000004127-20-000058"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4127/000000412720000058/0000004127-20-000058-index.htm"", ""perimetre_id"": ""0000004127:rd:ResearchAndDevelopmentExpense""}, {""annee"": 2019, ""valeur"": 424100000.0, ""debut"": ""2018-09-29"", ""fin"": ""2019-09-27"", ""depot"": ""0000004127-21-000058"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/0000004127-21-000058-index.htm"", ""perimetre_id"": ""0000004127:rd:ResearchAndDevelopmentExpense""}]",1.9906234161175875,comparable_sur_reference,
0000004281,Howmet Aerospace,chiffre_affaires,2025,8252000000.0,2025-01-01,2025-12-31,0000004281-26-000012,https://www.sec.gov/Archives/edgar/data/4281/000000428126000012/0000004281-26-000012-index.htm,RevenueFromContractWithCustomerExcludingAssessedTax,HWM:activites_poursuivies,2018;2019,2,6938000000.0,2018-01-01/2018-12-31;2019-01-01/2019-12-31,False,"[{""annee"": 2018, ""valeur"": 6778000000.0, ""debut"": ""2018-01-01"", ""fin"": ""2018-12-31"", ""depot"": ""0000004281-21-000049"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/0000004281-21-000049-index.htm"", ""perimetre_id"": ""HWM:activites_poursuivies""}, {""annee"": 2019, ""valeur"": 7098000000.0, ""debut"": ""2019-01-01"", ""fin"": ""2019-12-31"", ""depot"": ""0000004281-22-000004"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/0000004281-22-000004-index.htm"", ""perimetre_id"": ""HWM:activites_poursuivies""}]",1.1893917555491496,comparable_sur_reference,Périmètre délimité par HWM-RESULTAT
0000004281,Howmet Aerospace,capex,2025,453000000.0,2025-01-01,2025-12-31,0000004281-26-000012,https://www.sec.gov/Archives/edgar/data/4281/000000428126000012/0000004281-26-000012-index.htm,PaymentsToAcquirePropertyPlantAndEquipment,HWM:post_scission_flux,2021;2022,2,196000000.0,2021-01-01/2021-12-31;2022-01-01/2022-12-31,True,"[{""annee"": 2021, ""valeur"": 199000000.0, ""debut"": ""2021-01-01"", ""fin"": ""2021-12-31"", ""depot"": ""0000004281-24-000007"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4281/000000428124000007/0000004281-24-000007-index.htm"", ""perimetre_id"": ""HWM:post_scission_flux""}, {""annee"": 2022, ""valeur"": 193000000.0, ""debut"": ""2022-01-01"", ""fin"": ""2022-12-31"", ""depot"": ""0000004281-25-000011"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/0000004281-25-000011-index.htm"", ""perimetre_id"": ""HWM:post_scission_flux""}]",2.311224489795918,comparable_sur_repli,Périmètre délimité par HWM-FLUX
0000004281,Howmet Aerospace,rd,2025,37000000.0,2025-01-01,2025-12-31,0000004281-26-000012,https://www.sec.gov/Archives/edgar/data/4281/000000428126000012/0000004281-26-000012-index.htm,ResearchAndDevelopmentExpense,HWM:activites_poursuivies,2018;2019,2,34500000.0,2018-01-01/2018-12-31;2019-01-01/2019-12-31,False,"[{""annee"": 2018, ""valeur"": 41000000.0, ""debut"": ""2018-01-01"", ""fin"": ""2018-12-31"", ""depot"": ""0000004281-21-000049"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/0000004281-21-000049-index.htm"", ""perimetre_id"": ""HWM:activites_poursuivies""}, {""annee"": 2019, ""valeur"": 28000000.0, ""debut"": ""2019-01-01"", ""fin"": ""2019-12-31"", ""depot"": ""0000004281-22-000004"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/0000004281-22-000004-index.htm"", ""perimetre_id"": ""HWM:activites_poursuivies""}]",1.0724637681159421,comparable_sur_reference,Périmètre délimité par HWM-RESULTAT
0000004904,American Electric Power,chiffre_affaires,2025,21876000000.0,2025-01-01,2025-12-31,0000004904-26-000013,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/0000004904-26-000013-index.htm,Revenues,0000004904:chiffre_affaires:Revenues,,0,,,False,[],,recent_non_reconcilie,Montants de revenu différents sans rapprochement ; maximum conservé comme candidat ; Changement d'étiquette ; comparaison inter-étiquettes non autorisée sans rapprochement
