titre,date,motif,reprise
AMD,2015-01-02,dernier cours connu porté,2015-01-05
BKR,2019-10-18,dernier cours connu porté,2019-10-21
NDAQ,2002-07-11,dernier cours connu porté,2002-07-12
NDAQ,2002-07-26,dernier cours connu porté,2002-07-29
NDAQ,2002-08-02,dernier cours connu porté,2002-08-05
NDAQ,2002-11-08,dernier cours connu porté,2002-11-11
NDAQ,2002-12-03,dernier cours connu porté,2002-12-04
NDAQ,2002-12-24,dernier cours connu porté,2002-12-26
NDAQ,2002-12-27,dernier cours connu porté,2002-12-30
NDAQ,2003-03-05,dernier cours connu porté,2003-03-06
NDAQ,2003-04-02,dernier cours connu porté,2003-04-03
NDAQ,2003-10-02,dernier cours connu porté,2003-10-03
NDAQ,2003-12-12,dernier cours connu porté,2003-12-15
NDAQ,2004-04-02,dernier cours connu porté,2004-04-05
NDAQ,2004-04-20,dernier cours connu porté,2004-04-21
NDAQ,2004-04-30,dernier cours connu porté,2004-05-03
NDAQ,2004-05-13,dernier cours connu porté,2004-05-14
NDAQ,2004-06-07,dernier cours connu porté,2004-06-08
NDAQ,2004-06-16,dernier cours connu porté,2004-06-17
NDAQ,2004-09-01,dernier cours connu porté,2004-09-02
NDAQ,2004-10-11,dernier cours connu porté,2004-10-12
NRG,2003-12-05,dernier cours connu porté,2003-12-08
SBAC,2017-01-17,dernier cours connu porté,2017-01-18
TPL,2000-04-27,dernier cours connu porté,2000-04-28
TPL,2000-09-21,dernier cours connu porté,2000-09-22
TPL,2001-07-06,dernier cours connu porté,2001-07-09
TPL,2001-07-30,dernier cours connu porté,2001-07-31
TPL,2002-05-07,dernier cours connu porté,2002-05-08
TPL,2002-09-11,dernier cours connu porté,2002-09-12
TPL,2002-09-23,dernier cours connu porté,2002-09-24
TPL,2003-09-15,dernier cours connu porté,2003-09-16
TPL,2004-01-15,dernier cours connu porté,2004-01-16
TPL,2005-08-25,dernier cours connu porté,2005-08-26
TPL,2006-07-10,dernier cours connu porté,2006-07-11
TPL,2006-07-19,dernier cours connu porté,2006-07-20
TPL,2006-07-31,dernier cours connu porté,2006-08-01
VST,2016-11-25,dernier cours connu porté,2016-11-28
XEL,2018-06-08,dernier cours connu porté,2018-06-11
