portefeuille,vol_reeq,semivol_reeq,repli_reeq,var99_reeq,es99_reeq,sharpe_reeq,sortino_reeq,annualise_reeq,vol_cons,semivol_cons,repli_cons,var99_cons,es99_cons,sharpe_cons,sortino_cons,annualise_cons,gagnant_vol,gagnant_semivol,gagnant_repli,gagnant_var99,gagnant_es99,gagnant_sharpe,gagnant_sortino,gagnant_annualise
P1,0.2173053316826406,0.15167979814856025,-0.5183927266088377,0.03583185254846421,0.050973180038321235,0.8114998367166424,1.1626020296084663,0.1870037045363715,0.23522439653337382,0.165503866709411,-0.5330534591443953,0.042383943636882394,0.05751930106869523,0.7698422377929693,1.0941477042871786,0.18779285053826156,reeq,reeq,reeq,reeq,reeq,reeq,reeq,cons
P2,0.23819138288766334,0.1654119442465595,-0.5550408353016785,0.039676531597052214,0.053726735468353486,0.7815995837676506,1.125494815806876,0.1930449500918936,0.2555681446062994,0.1788528220924653,-0.5553569847853563,0.045372482359221214,0.05977905709078669,0.7441866992197687,1.0633906232799375,0.19268835223985215,reeq,reeq,reeq,reeq,reeq,reeq,reeq,reeq
P3,0.18461916237326834,0.1302387619365302,-0.45867653070597814,0.031053278262386352,0.04834661005955609,0.7130381738194076,1.0107629129249311,0.14262838266784095,0.23002612711221168,0.16124915195580022,-0.5190689564665725,0.04193426825711032,0.06078326381470795,0.633178567807784,0.9032457656782263,0.1478972402984553,reeq,reeq,reeq,reeq,reeq,reeq,reeq,cons
P4,0.31150732916841967,0.21026604230766766,-0.70596949226942,0.05307369099010414,0.06914675331650375,0.8397064436775421,1.2440178579704235,0.26096692684815426,0.34364284795048733,0.23732235494446793,-0.8653278415732542,0.059612984103194884,0.07454456928113934,0.5627318268944236,0.814835870272861,0.16553094812262503,reeq,reeq,reeq,reeq,reeq,reeq,reeq,reeq
P5,0.32175939060966696,0.22083439965666368,-0.7263703323502795,0.05383236816880061,0.06960965096220992,0.6910881771562322,1.006926960134152,0.20850180079862102,0.34729502310376026,0.23751414203884785,-0.730755185181339,0.05973609915248945,0.07564109843312512,0.7192345904868481,1.051670404027135,0.23152193862110204,reeq,reeq,reeq,reeq,reeq,cons,cons,cons
P6,0.18938488938638068,0.1341502002540089,-0.45106453180121064,0.03348769617759971,0.04729868447254012,0.5896837587914726,0.8324787679795572,0.11907492965653144,0.19533728177634385,0.1381866127763998,-0.4484040937724082,0.03435281192357767,0.04906792534329188,0.5668935906481781,0.8013471842806356,0.11674632616501635,reeq,reeq,cons,reeq,reeq,reeq,reeq,reeq
P7,0.23054593264715975,0.1606761371171351,-0.5401501738397574,0.038728868607905725,0.05410528415139919,0.7409134723638071,1.0630986689232724,0.17697236865607424,0.23858100654334974,0.16685813963591736,-0.5374836271830343,0.04054992182910505,0.05649384726661082,0.7189858117894254,1.0280371041017176,0.17558233934726064,reeq,reeq,cons,reeq,reeq,reeq,reeq,reeq
P8,0.266484338935309,0.18184368004725449,-0.6452115170006857,0.04771684667296304,0.06451884968555527,0.6560864814793859,0.9614674112182139,0.171295361168055,0.2573632181462172,0.17749630833552782,-0.5964859633433889,0.04480115351196129,0.06457608886250556,0.5305577411332598,0.7692895077700735,0.13000140474514232,cons,cons,cons,cons,reeq,reeq,reeq,reeq
P9,0.34381000511022836,0.2346722581120475,-0.7234112199872911,0.06121846036341399,0.07428168516509842,0.5443797732797526,0.797551504975305,0.15835550778783913,0.35176212147969677,0.23969277368861294,-0.731307979945559,0.06085067310424143,0.07803060159332005,0.45580400076168304,0.6689170466822459,0.124701740003071,reeq,reeq,reeq,cons,reeq,reeq,reeq,reeq
P10,0.2302092103290757,0.16265751983317,-0.5758278897363582,0.03810925728103529,0.059246177315577894,0.6078219980226817,0.8602505579143106,0.14123866092954174,0.27221142480506133,0.19092229148382184,-0.6233139883183862,0.04786201585075752,0.07033448610248164,0.6056884768723712,0.8635729332392105,0.157767469299958,reeq,reeq,reeq,reeq,reeq,reeq,cons,cons
