serie,titre_choque,poids,perte_isolee,perte_propagee,beta_moyen,amplification
P1_cons,SNDK,0.19377810896285824,-0.09688905448142912,-0.15849498811533186,0.3169899762306637,1.6358399714356884
P1_reeq,SNDK,0.03679282404217125,-0.018396412021085624,-0.08167769957833552,0.16335539915667105,4.43987118165858
P2_cons,SNDK,0.2147352727413489,-0.10736763637067445,-0.17190569463612831,0.34381138927225663,1.6010941513385246
P2_reeq,SNDK,0.043113718609615985,-0.021556859304807992,-0.09449830713059083,0.18899661426118167,4.383676944512699
P3_cons,TPL,0.5642908838777357,-0.28214544193886787,-0.2990798697141288,0.5981597394282576,1.0600202068085514
P3_reeq,TPL,0.048283859208891375,-0.024141929604445687,-0.05746995501153241,0.11493991002306482,2.3805037937377396
P4_cons,APP,0.26480011833832273,-0.13240005916916137,-0.18810096199729276,0.3762019239945855,1.4207014949816974
P4_reeq,ORCL,0.08726140260261876,-0.04363070130130938,-0.10254713481680397,0.20509426963360794,2.350343491126201
P5_cons,SNDK,0.43136125547628784,-0.21568062773814392,-0.26794898737887085,0.5358979747577417,1.242341466588207
P5_reeq,SNDK,0.10453059123295937,-0.05226529561647968,-0.1600987734635121,0.3201975469270242,3.0631946413985576
P6_cons,VST,0.1535303534294817,-0.07676517671474085,-0.17651983573915975,0.3530396714783195,2.2994780093466973
P6_reeq,VST,0.03756513358798627,-0.018782566793993136,-0.06823230880219261,0.13646461760438522,3.632746767284971
P7_cons,VRT,0.14900260863222506,-0.07450130431611253,-0.2187380137947207,0.4374760275894414,2.936029319253325
P7_reeq,VRT,0.048903057574662165,-0.024451528787331082,-0.13794142932353337,0.27588285864706674,5.641423508660289
P8_cons,DLR,0.30317709681516725,-0.15158854840758362,-0.2800607310454799,0.5601214620909598,1.847505857055025
P8_reeq,IRM,0.17468220418418443,-0.08734110209209221,-0.20649162397333215,0.4129832479466643,2.3641976002959977
P9_cons,LRCX,0.3203952436558404,-0.1601976218279202,-0.3414545206651292,0.6829090413302584,2.131458112604881
P9_reeq,TER,0.1016997452468274,-0.0508498726234137,-0.22570808132418535,0.4514161626483707,4.438714782940451
P10_cons,TPL,0.5975076971104889,-0.29875384855524445,-0.31054691092729336,0.6210938218545867,1.0394741772501992
P10_reeq,SLB,0.07021341609774658,-0.03510670804887329,-0.1502666532701394,0.3005333065402788,4.280283217126137
