portefeuille,n,rho_tension,rho_calme,rapport,n_eff_calme,n_eff_tension
P1,135,0.43264745493130485,0.30685321116842573,1.4099492499488073,3.205255266517464,2.289114909138418
P2,111,0.46254401493992586,0.32600390348059155,1.4188296827171676,3.0113593861605805,2.139559344899013
P3,24,0.4638012507302748,0.38664549609999643,1.1995516704798854,2.4259954116959146,2.0570084874484302
P4,11,0.5640672448154098,0.32721383024367706,1.723849032894934,2.574823009293905,1.656458752615883
P5,34,0.5246103833853797,0.386304045950697,1.3580245635126855,2.4730809653255674,1.8566915213939246
P6,24,0.5613536503808263,0.5147745918934655,1.0904843774748705,1.8691857206012432,1.7252367830796889
P7,28,0.5475038033169413,0.4601821179619486,1.1897546252812308,2.0856739460070735,1.774105358333974
P8,7,0.5312885832211391,0.42450633646713054,1.2515445296828371,1.9734775784452068,1.6715493820760066
P9,13,0.5837451105302208,0.43775054945513775,1.3335108573976675,2.0789998868053683,1.6239969126553293
P10,18,0.47973657143795556,0.38426365570349247,1.2484567934473938,2.3896505360143516,1.9660266843778287
