portefeuille,n,sigma_moyen,rho,vol_predite,vol_reelle,plancher_n_infini,n_effectif,reduction_obtenue,reste_a_gagner
P1,135,0.3902812924098856,0.33796390001590776,0.22852890038059603,0.2173053316826406,0.22688871268590935,2.9165754047275065,0.41445079529820805,0.004202578311040612
P2,111,0.4082522923446316,0.3581416085480065,0.2462827817077833,0.23819138288766334,0.24431831354330055,2.7478255890266943,0.39673876589067525,0.004811897449982781
P3,24,0.30716541771168626,0.41069629906956495,0.20264785826613507,0.18461916237326834,0.19684877369259918,2.2975268826360846,0.3402647349567658,0.018879353726528787
P4,11,0.44246790527149144,0.3833127328687972,0.29329154958404335,0.31150732916841967,0.27394185814441746,2.2759590740983278,0.337146161134367,0.04373128809818019
P5,34,0.48773820342828456,0.41766113982878456,0.3216073200412486,0.32175939060966696,0.31520914496311275,2.2999674951678846,0.34061486719578515,0.013118051924502576
P6,24,0.2764776258099663,0.526575776198135,0.2043507807755758,0.18938488938638068,0.20062748531984462,1.8304900816721006,0.2608776924464986,0.013466896081820213
P7,28,0.34530067211374826,0.47742656536910494,0.24320786613043144,0.23054593264715975,0.23858916323640503,2.0157636656642444,0.29566350206722336,0.013375887355657758
P8,7,0.38815523012078046,0.45519957326983257,0.2833874006626309,0.266484338935309,0.26188243205369255,1.8760733285437696,0.269912193185055,0.055403011321647676
P9,13,0.4446073081703284,0.4739976430525304,0.3188982491413281,0.34381000511022836,0.30610095754121636,1.9437881245331967,0.2827417739630167,0.02878335862893442
P10,18,0.3576036191723678,0.4114620473880011,0.23832573627847708,0.2302092103290757,0.2293859411383859,2.2514480172173803,0.3335477509146736,0.024999174115690748
