serie,seuil,obs,depassements,attendus,taux,kupiec,groupes,groupes_attendus,rejet
P1_reeq,0.95,6456,363,322.8,0.056226765799256506,5.074613939701521,50,16.1,True
P1_reeq,0.99,6456,108,64.6,0.016728624535315983,24.555734938113915,11,0.6,True
P1_cons,0.95,6456,373,322.8,0.05777571251548947,7.842941158583471,47,16.1,True
P1_cons,0.99,6456,108,64.6,0.016728624535315983,24.555734938113915,11,0.6,True
P10_reeq,0.95,6456,348,322.8,0.05390334572490706,2.021685674706305,48,16.1,False
P10_reeq,0.99,6456,105,64.6,0.016263940520446097,21.513132347520468,10,0.6,True
P10_cons,0.95,6456,371,322.8,0.057465923172242875,7.2432852378551615,53,16.1,True
P10_cons,0.99,6456,117,64.6,0.01812267657992565,34.68290241362115,9,0.6,True
P2_reeq,0.95,6456,353,322.8,0.05467781908302354,2.890145184952871,45,16.1,False
P2_reeq,0.99,6456,107,64.6,0.01657372986369269,23.52246843881369,7,0.6,True
P2_cons,0.95,6456,366,322.8,0.056691449814126396,5.844492434088352,42,16.1,True
P2_cons,0.99,6456,110,64.6,0.01703841387856258,26.678599613476308,10,0.6,True
P3_reeq,0.95,6456,354,322.8,0.05483271375464684,3.0818818447933154,60,16.1,False
P3_reeq,0.99,6456,111,64.6,0.017193308550185873,27.767861174320842,9,0.6,True
P3_cons,0.95,6456,379,322.8,0.05870508054522924,9.778032094179252,66,16.1,True
P3_cons,0.99,6456,117,64.6,0.01812267657992565,34.68290241362115,14,0.6,True
P4_reeq,0.95,6456,341,322.8,0.05281908302354399,1.061448082467905,27,16.1,False
P4_reeq,0.99,6456,98,64.6,0.015179677819083023,15.100265056633589,7,0.6,True
P4_cons,0.95,6456,353,322.8,0.05467781908302354,2.890145184952871,38,16.1,False
P4_cons,0.99,6456,94,64.6,0.014560099132589838,11.887368621707992,5,0.6,True
P5_reeq,0.95,6456,359,322.8,0.05560718711276332,4.129911556429306,32,16.1,True
P5_reeq,0.99,6456,91,64.6,0.01409541511771995,9.703663501235155,4,0.6,True
P5_cons,0.95,6456,367,322.8,0.05684634448574969,6.112724305869506,41,16.1,True
P5_cons,0.99,6456,104,64.6,0.0161090458488228,20.537418702438686,2,0.6,True
P6_reeq,0.95,6456,359,322.8,0.05560718711276332,4.129911556429306,55,16.1,True
P6_reeq,0.99,6456,109,64.6,0.01688351920693928,25.607835280415202,10,0.6,True
P6_cons,0.95,6456,363,322.8,0.056226765799256506,5.074613939701521,53,16.1,True
P6_cons,0.99,6456,112,64.6,0.01734820322180917,28.875456205748833,12,0.6,True
P7_reeq,0.95,6456,353,322.8,0.05467781908302354,2.890145184952871,45,16.1,False
P7_reeq,0.99,6456,111,64.6,0.017193308550185873,27.767861174320842,7,0.6,True
P7_cons,0.95,6456,367,322.8,0.05684634448574969,6.112724305869506,48,16.1,True
P7_cons,0.99,6456,117,64.6,0.01812267657992565,34.68290241362115,9,0.6,True
P8_reeq,0.95,6456,366,322.8,0.056691449814126396,5.844492434088352,54,16.1,True
P8_reeq,0.99,6456,94,64.6,0.014560099132589838,11.887368621707992,7,0.6,True
P8_cons,0.95,6456,365,322.8,0.056536555142503095,5.5820534572071665,59,16.1,True
P8_cons,0.99,6456,98,64.6,0.015179677819083023,15.100265056633589,5,0.6,True
P9_reeq,0.95,6456,354,322.8,0.05483271375464684,3.0818818447933154,34,16.1,False
P9_reeq,0.99,6456,90,64.6,0.013940520446096654,9.020030397294363,8,0.6,True
P9_cons,0.95,6456,362,322.8,0.05607187112763321,4.829643481227777,42,16.1,True
P9_cons,0.99,6456,104,64.6,0.0161090458488228,20.537418702438686,9,0.6,True
GSPC,0.95,6456,344,322.8,0.05328376703841388,1.4361644657019497,47,16.1,False
GSPC,0.99,6456,106,64.6,0.01641883519206939,22.5082088106451,9,0.6,True
RSP,0.95,5622,301,281.1,0.05353966559943081,1.4509106161310683,41,14.1,False
RSP,0.99,5622,97,56.2,0.017253646389185345,24.554576168254016,8,0.6,True
SP500TR,0.95,6456,342,322.8,0.05297397769516728,1.1801841292347035,47,16.1,False
SP500TR,0.99,6456,106,64.6,0.01641883519206939,22.5082088106451,9,0.6,True
SPXEW,0.95,4698,248,234.9,0.05278842060451256,0.7558403599637131,33,11.7,False
SPXEW,0.99,4698,74,47.0,0.015751383567475522,13.360057834514805,7,0.5,True
SPY,0.95,6456,342,322.8,0.05297397769516728,1.1801841292347035,52,16.1,False
SPY,0.99,6456,100,64.6,0.015489467162329617,16.831908464110143,11,0.6,True
