serie,maillon,titres,poids,risque,amplification
P1_cons,vendeurs,34,0.605239416896883,0.8142983556828662,1.3454152736083305
P1_cons,equipement,28,0.15433135252757635,0.10186786099474705,0.6600594067660038
P1_cons,acheteurs,11,0.08275745737670334,0.02956600932985281,0.35726096797864887
P1_cons,amont des puces,13,0.03445612805712751,0.028811709889900408,0.8361853613421457
P1_cons,matieres et energie,18,0.06722481036458083,0.012117410565108478,0.1802520602050349
P1_cons,electricite,24,0.04320369617815853,0.011950523207162755,0.27660881508569396
P1_cons,immobilier,7,0.01278713859897051,0.0013881303303621094,0.10855675956103795
P1_reeq,vendeurs,34,0.3519814018862074,0.6182218815904446,1.7564049642324864
P1_reeq,equipement,28,0.190116347007265,0.1574943854283706,0.8284105386390166
P1_reeq,amont des puces,13,0.09843886450244822,0.1479743325399179,1.503210477770573
P1_reeq,matieres et energie,18,0.11858304532945318,0.02922111764977705,0.24641901857549298
P1_reeq,electricite,24,0.13999463621380534,0.020417076400887045,0.14584184760982755
P1_reeq,acheteurs,11,0.05411105258322992,0.015142745783600982,0.27984570731292735
P1_reeq,immobilier,7,0.046774652477590814,0.011528460607001911,0.24646811887111425
P2_cons,vendeurs,33,0.6523837991211554,0.8277486136772153,1.268806207009277
P2_cons,equipement,28,0.16801843547576872,0.10220698230625919,0.6083081420014727
P2_cons,amont des puces,12,0.03601975075929526,0.028562279889450638,0.7929616193160318
P2_cons,acheteurs,11,0.08512346020843464,0.02776597202668446,0.3261847199197056
P2_cons,electricite,9,0.021749674418549844,0.007803451330070582,0.3587847422403335
P2_cons,matieres et energie,12,0.02529338468844914,0.004478986837494755,0.1770813551711091
P2_cons,immobilier,6,0.011411495328346878,0.0014337139328250178,0.12563769178116224
P2_reeq,vendeurs,33,0.40579799878186257,0.6309066948538635,1.554730917224184
P2_reeq,equipement,28,0.2227777535794627,0.1600016028165433,0.7182117614785637
P2_reeq,amont des puces,12,0.11026787933710053,0.14819124075564846,1.3439202934393273
P2_reeq,matieres et energie,12,0.08983311634546377,0.025272759296827773,0.2813300965719414
P2_reeq,acheteurs,11,0.06340716581226719,0.01613474319768133,0.2544624569004122
P2_reeq,immobilier,6,0.047521638107573885,0.011296876193009191,0.23772068141751876
P2_reeq,electricite,9,0.06039444803626937,0.008196082886426325,0.13570921091131152
P3_cons,matieres et energie,6,0.6137109579714778,0.8974127129402157,1.4622725914923667
P3_cons,electricite,15,0.33389262800947445,0.08962155070278359,0.2684142840681122
P3_cons,amont des puces,1,0.023460841486414027,0.009494781209240175,0.40470761522933957
P3_cons,immobilier,1,0.025780046195628337,0.002649349547501371,0.10276744763749243
P3_cons,vendeurs,1,0.003155526337005551,0.0008216056002589907,0.2603703827864915
P3_reeq,electricite,15,0.6033334383548602,0.6330270636688705,1.0492159449921712
P3_reeq,matieres et energie,6,0.2859313639963844,0.26676195403692904,0.9329580019081161
P3_reeq,vendeurs,1,0.038724384386116695,0.040064249451825226,1.0346000352736116
P3_reeq,amont des puces,1,0.029584233759963656,0.030747746001500462,1.0393287942144165
P3_reeq,immobilier,1,0.04242657950267504,0.029398986840874646,0.6929379456343165
P4_cons,acheteurs,11,1.0,0.9999999999999998,0.9999999999999998
P4_reeq,acheteurs,11,0.9999999999999999,1.0,1.0000000000000002
P5_cons,vendeurs,34,0.9999999999999999,0.9999999999999999,1.0
P5_reeq,vendeurs,34,1.0,1.0000000000000002,1.0000000000000002
P6_cons,electricite,24,1.0,1.0,1.0
P6_reeq,electricite,24,1.0,0.9999999999999999,0.9999999999999999
P7_cons,equipement,28,1.0,1.0,1.0
P7_reeq,equipement,28,1.0,0.9999999999999999,0.9999999999999999
P8_cons,immobilier,7,1.0,1.0,1.0
P8_reeq,immobilier,7,1.0,1.0,1.0
P9_cons,amont des puces,13,0.9999999999999999,1.0,1.0000000000000002
P9_reeq,amont des puces,13,1.0,1.0,1.0
P10_cons,matieres et energie,18,1.0000000000000002,1.0,0.9999999999999998
P10_reeq,matieres et energie,18,1.0,0.9999999999999999,0.9999999999999999
