serie,repli_max,sommet,creux,retour,chute_seances,recuperation_seances,part_sous_l_eau
P4_cons,-0.8653278415732542,2000-03-27,2002-10-07,2012-03-08,634,2372,94.12729169771949
P9_cons,-0.731307979945559,2000-03-27,2002-10-09,2007-10-17,636,1264,93.9633328364883
P5_cons,-0.730755185181339,2000-09-01,2002-10-09,2007-06-15,525,1178,91.56357132210464
P5_reeq,-0.7263703323502795,2000-09-01,2002-10-09,2005-12-02,525,794,90.57981815471754
P9_reeq,-0.7234112199872911,2000-03-27,2002-10-09,2007-10-17,636,1264,92.57713519153377
P4_reeq,-0.70596949226942,2000-03-27,2002-07-25,2003-07-08,583,239,89.44701147712028
P8_reeq,-0.6452115170006857,2000-03-22,2002-10-09,2003-07-24,639,198,90.5500074526755
P10_cons,-0.6233139883183862,2008-05-20,2008-11-20,2013-05-17,129,1128,92.77090475480698
SPXEW,-0.6083118571730801,2007-07-13,2009-03-09,2011-04-28,416,540,91.15330236315896
RSP,-0.5968630146357949,2007-07-19,2009-03-09,2011-02-08,412,485,88.51063829787233
P8_cons,-0.5964859633433889,2007-05-02,2008-11-20,2010-04-09,394,346,92.2492174690714
P10_reeq,-0.5758278897363582,2008-05-19,2008-11-20,2013-01-07,130,1037,91.48904456699955
GSPC,-0.5677538774277282,2007-10-09,2009-03-09,2013-03-28,355,1021,92.62185124459681
P2_cons,-0.5553569847853563,2008-06-05,2008-11-20,2010-12-22,118,525,88.55269041585929
P2_reeq,-0.5550408353016785,2007-10-10,2008-11-20,2010-03-23,282,334,86.64480548516917
SP500TR,-0.5525024106969595,2007-10-09,2009-03-09,2012-04-02,355,774,90.4605753465494
SPY,-0.5492166646241935,2007-10-09,2009-03-09,2012-08-16,355,869,90.56491280369653
P7_reeq,-0.5401501738397574,2008-06-05,2009-03-09,2010-04-22,190,283,89.31286331793113
P7_cons,-0.5374836271830343,2008-06-05,2009-03-09,2010-10-05,190,398,89.77492919958266
P1_cons,-0.5330534591443953,2008-05-16,2009-03-09,2011-02-01,203,480,87.67327470561932
P3_cons,-0.5190689564665725,2008-05-16,2009-03-09,2013-04-23,203,1038,91.81696228946191
P1_reeq,-0.5183927266088377,2008-06-05,2008-11-20,2010-04-12,118,347,86.16783425249665
P3_reeq,-0.45867653070597814,2007-12-26,2009-03-09,2011-02-01,301,480,88.8209867342376
P6_reeq,-0.45106453180121064,2007-12-10,2009-03-09,2011-05-12,312,550,91.48904456699955
P6_cons,-0.4484040937724082,2007-12-07,2009-03-09,2011-12-27,313,708,91.86167834252497
