portefeuille,vol_reeq,sharpe_reeq,vol_hors_reeq,sharpe_hors_reeq,jours_retires_reeq,vol_cons,sharpe_cons,vol_hors_cons,sharpe_hors_cons,jours_retires_cons,g_vol,g_vol_hors,g_sharpe,g_sharpe_hors
P1,0.2173053316826406,0.8114998367166424,0.21467851198978088,0.7482821721474672,76,0.23522439653337382,0.7698422377929693,0.23327576172952635,0.719517791577303,76,reeq,reeq,reeq,reeq
P2,0.23819138288766334,0.7815995837676506,0.2347867892427191,0.7144216841952311,76,0.2555681446062994,0.7441866992197687,0.25310604159919486,0.6937633758102344,76,reeq,reeq,reeq,reeq
P3,0.18461916237326834,0.7130381738194076,0.18216720097141298,0.6865191426748792,76,0.23002612711221168,0.633178567807784,0.227760710021242,0.5971582077221173,76,reeq,reeq,reeq,reeq
P4,0.31150732916841967,0.8397064436775421,0.30471607887794055,0.7571635931540773,76,0.34364284795048733,0.5627318268944236,0.34009391374335174,0.51996690573959,76,reeq,reeq,reeq,reeq
P5,0.32175939060966696,0.6910881771562322,0.3145985854322006,0.6088436523052893,76,0.34729502310376026,0.7192345904868481,0.3411569048396487,0.6593903089460493,76,reeq,reeq,cons,cons
P6,0.18938488938638068,0.5896837587914726,0.18725972349594622,0.5932548248477942,76,0.19533728177634385,0.5668935906481781,0.1933534394172417,0.5692766757768921,76,reeq,reeq,reeq,reeq
P7,0.23054593264715975,0.7409134723638071,0.22900431324534595,0.708948403967192,76,0.23858100654334974,0.7189858117894254,0.23734385810853334,0.6875622030196037,76,reeq,reeq,reeq,reeq
P8,0.266484338935309,0.6560864814793859,0.2589058606340996,0.5681177495769832,76,0.2573632181462172,0.5305577411332598,0.2517745204984394,0.4683632733135629,76,cons,cons,reeq,reeq
P9,0.34381000511022836,0.5443797732797526,0.33427963160880686,0.4825744740554407,76,0.35176212147969677,0.45580400076168304,0.3410521427546841,0.3700275828701057,76,reeq,reeq,reeq,reeq
P10,0.2302092103290757,0.6078219980226817,0.22844963954427217,0.5831623013126046,76,0.27221142480506133,0.6056884768723712,0.27133927791857304,0.5879653065458467,76,reeq,reeq,reeq,cons
