portefeuille,fenetres,part_reeq_gagne,ecart_median,ecart_min,ecart_max,premiere_perte,derniere_perte
P1,284,0.6866197183098591,-0.012497299747949941,-0.32463254310512346,0.17680563502433366,2003-01-08,2018-01-12
P2,284,0.7852112676056338,-0.01929709747671976,-0.2880279572438815,0.1516584271014254,2003-01-08,2012-03-12
P3,284,0.7147887323943662,-0.09145640878046135,-0.5301938270859977,0.11627368562687179,2003-01-08,2017-02-13
P4,284,0.6866197183098591,-0.044772620824048426,-0.33352998224752883,0.3938682776377145,2003-05-09,2014-04-14
P5,284,0.8028169014084507,-0.03544346475779997,-0.29325574020566036,0.05130230951340797,2003-01-08,2015-03-16
P6,284,0.39436619718309857,0.008865694974583671,-0.26530059349307467,0.08694474409450792,2003-02-07,2021-12-14
P7,284,0.5985915492957746,-0.010380394669988913,-0.18976428021638392,0.07418446242559407,2003-01-08,2022-02-14
P8,284,0.7253521126760564,-0.020089991733321266,-0.10036691111425367,0.8266049158828939,2003-01-08,2015-04-15
P9,284,0.3028169014084507,0.02900845059968693,-0.2123628903618322,0.09416882522178538,2003-01-08,2026-05-22
P10,284,0.7077464788732394,-0.0472664867217194,-0.48297316793842493,0.1367822057776038,2003-01-08,2014-08-13
