cik,nom,notion,debut,fin,valeur,depot,formulaire,depose_le
0001045810,Nvidia,actions,,2009-08-17,547800000.0,0001045810-09-000024,10-Q,2009-08-20
0001045810,Nvidia,actions,,2009-11-17,554900000.0,0001045810-09-000036,10-Q,2009-11-19
0001045810,Nvidia,actions,,2010-03-10,566500000.0,0001045810-10-000006,10-K,2010-03-18
0001045810,Nvidia,actions,,2010-05-17,572168377.0,0001045810-10-000018,10-Q,2010-05-21
0001045810,Nvidia,actions,,2010-08-25,574028479.0,0001045810-10-000029,10-Q,2010-08-30
0001045810,Nvidia,actions,,2010-11-18,580261256.0,0001045810-10-000045,10-Q,2010-12-07
0001045810,Nvidia,actions,,2011-03-10,591400000.0,0001045810-11-000015,10-K,2011-03-16
0001045810,Nvidia,actions,,2011-05-23,600288389.0,0001045810-11-000031,10-Q,2011-05-27
0001045810,Nvidia,actions,,2011-08-19,603727365.0,0001045810-11-000046,10-Q,2011-08-25
0001045810,Nvidia,actions,,2011-11-17,610653436.0,0001045810-11-000056,10-Q,2011-11-22
0001045810,Nvidia,actions,,2012-03-09,616028107.0,0001045810-12-000013,10-K,2012-03-13
0001045810,Nvidia,actions,,2012-05-18,618804109.0,0001045810-12-000027,10-Q,2012-05-23
0001045810,Nvidia,actions,,2012-08-17,619476242.0,0001045810-12-000036,10-Q,2012-08-22
0001045810,Nvidia,actions,,2012-11-16,624850798.0,0001045810-12-000060,10-Q,2012-11-19
0001045810,Nvidia,actions,,2013-03-08,615980172.0,0001045810-13-000008,10-K,2013-03-12
0001045810,Nvidia,actions,,2013-05-17,577916410.0,0001045810-13-000054,10-Q,2013-05-22
0001045810,Nvidia,actions,,2013-08-16,578598038.0,0001045810-13-000075,10-Q,2013-08-21
0001045810,Nvidia,actions,,2013-11-15,568535613.0,0001045810-13-000109,10-Q,2013-11-19
0001045810,Nvidia,actions,,2014-03-07,554241412.0,0001045810-14-000030,10-K,2014-03-13
0001045810,Nvidia,actions,,2014-05-16,557966266.0,0001045810-14-000085,10-Q,2014-05-21
0001045810,Nvidia,actions,,2014-08-15,541915105.0,0001045810-14-000158,10-Q,2014-08-20
0001045810,Nvidia,actions,,2014-11-14,543536901.0,0001045810-14-000188,10-Q,2014-11-19
