fichier,symbole,symbole_declare,devise,place,type,fuseau,nom,premiere_transaction,collecte_le
ADI.csv,ADI,ADI,USD,NasdaqGS,EQUITY,EDT,"Analog Devices, Inc.",1980-03-17,2026-09-08
AEE.csv,AEE,AEE,USD,NYSE,EQUITY,EDT,Ameren Corporation,1998-01-02,2026-09-08
AEP.csv,AEP,AEP,USD,NasdaqGS,EQUITY,EDT,"American Electric Power Company, Inc.",1962-01-02,2026-09-08
AES.csv,AES,AES,USD,NYSE,EQUITY,EDT,The AES Corporation,1991-06-26,2026-09-08
AKAM.csv,AKAM,AKAM,USD,NasdaqGS,EQUITY,EDT,"Akamai Technologies, Inc.",1999-10-29,2026-09-08
AMAT.csv,AMAT,AMAT,USD,NasdaqGS,EQUITY,EDT,"Applied Materials, Inc.",1980-03-17,2026-09-08
AMD.csv,AMD,AMD,USD,NasdaqGS,EQUITY,EDT,"Advanced Micro Devices, Inc.",1980-03-17,2026-09-08
AME.csv,AME,AME,USD,NYSE,EQUITY,EDT,"AMETEK, Inc.",1984-07-19,2026-09-08
AMT.csv,AMT,AMT,USD,NYSE,EQUITY,EDT,American Tower Corporation,1998-02-27,2026-09-08
AMZN.csv,AMZN,AMZN,USD,NasdaqGS,EQUITY,EDT,"Amazon.com, Inc.",1997-05-15,2026-09-08
ANET.csv,ANET,ANET,USD,NYSE,EQUITY,EDT,"Arista Networks, Inc.",2014-06-06,2026-09-08
APH.csv,APH,APH,USD,NYSE,EQUITY,EDT,Amphenol Corporation,1991-11-08,2026-09-08
ARES.csv,ARES,ARES,USD,NYSE,EQUITY,EDT,Ares Management Corporation,2014-05-02,2026-09-08
AVGO.csv,AVGO,AVGO,USD,NasdaqGS,EQUITY,EDT,Broadcom Inc.,2009-08-06,2026-09-08
BKR.csv,BKR,BKR,USD,NasdaqGS,EQUITY,EDT,Baker Hughes Company,1987-04-06,2026-09-08
BRK-B.csv,BRK-B,BRK.B,USD,NYSE,EQUITY,EDT,Berkshire Hathaway Inc.,1996-05-09,2026-09-08
