date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,symbole
1972-06-01 00:00:00-04:00,10.375,10.5625,10.375,10.4375,0.5342769026756287,84000,0.0,0.0,ETR
1972-06-02 00:00:00-04:00,10.4375,10.5625,10.375,10.5,0.5374758243560791,35200,0.0,0.0,ETR
1972-06-05 00:00:00-04:00,10.5,10.625,10.4375,10.4375,0.5342769026756287,26400,0.0,0.0,ETR
1972-06-06 00:00:00-04:00,10.375,10.375,10.25,10.3125,0.5346651077270508,31400,0.1325,0.0,ETR
1972-06-07 00:00:00-04:00,10.3125,10.375,10.3125,10.3125,0.5346651077270508,10000,0.0,0.0,ETR
1972-06-08 00:00:00-04:00,10.3125,10.4375,10.1875,10.1875,0.5281847715377808,65800,0.0,0.0,ETR
1972-06-09 00:00:00-04:00,10.1875,10.25,10.125,10.125,0.5249443650245667,37000,0.0,0.0,ETR
1972-06-12 00:00:00-04:00,10.125,10.3125,10.125,10.25,0.5314249992370605,21200,0.0,0.0,ETR
1972-06-13 00:00:00-04:00,10.25,10.25,10.0,10.125,0.5249443650245667,76800,0.0,0.0,ETR
1972-06-14 00:00:00-04:00,10.0625,10.0625,9.875,9.875,0.5119826197624207,253600,0.0,0.0,ETR
1972-06-15 00:00:00-04:00,9.875,9.9375,9.875,9.9375,0.5152226686477661,28200,0.0,0.0,ETR
1972-06-16 00:00:00-04:00,9.9375,9.9375,9.8125,9.9375,0.5152226686477661,18000,0.0,0.0,ETR
1972-06-19 00:00:00-04:00,9.9375,10.0,9.875,9.9375,0.5152226686477661,17000,0.0,0.0,ETR
1972-06-20 00:00:00-04:00,9.9375,9.9375,9.8125,9.8125,0.5087421536445618,81200,0.0,0.0,ETR
1972-06-21 00:00:00-04:00,9.8125,9.9375,9.6875,9.6875,0.5022614598274231,114000,0.0,0.0,ETR
1972-06-22 00:00:00-04:00,9.6875,9.8125,9.6875,9.8125,0.5087421536445618,47400,0.0,0.0,ETR
