titre,lignes_nasdaq,premiere_date,derniere_date,lignes_communes,rendements_comparables,ecart_r_max,ecarts_sup_10pb,statut
AES,2514,2016-09-06,2026-09-04,2514,2513,1.0436490294196688e-07,0,couverture_partielle
AKAM,2514,2016-09-06,2026-09-04,2514,2513,0.00015826561798681915,0,couverture_partielle
AMD,2514,2016-09-06,2026-09-04,2514,2513,0.0007669094154540979,0,couverture_partielle
AMT,2514,2016-09-06,2026-09-04,2514,2513,1.0688025253724476e-07,0,couverture_partielle
AMZN,2514,2016-09-06,2026-09-04,2514,2513,0.0005154833337240872,0,couverture_partielle
CBRE,2514,2016-09-06,2026-09-04,2514,2513,1.0755151524932671e-07,0,couverture_partielle
CDNS,2514,2016-09-06,2026-09-04,2514,2513,0.0007847237634761584,0,couverture_partielle
CIEN,2514,2016-09-06,2026-09-04,2514,2513,1.0127292604522609e-07,0,couverture_partielle
CNP,2514,2016-09-06,2026-09-04,2514,2513,1.0635618841181582e-07,0,couverture_partielle
COHR,1002,2022-09-08,2026-09-04,1002,1001,0.00013915495573368908,0,couverture_partielle
DELL,1937,2018-12-20,2026-09-04,1937,1936,0.21639251642106327,7,couverture_partielle
DTE,2514,2016-09-06,2026-09-04,2514,2513,0.0091329504339841,1,couverture_partielle
EQIX,2514,2016-09-06,2026-09-04,2514,2513,0.00023837704032025897,0,couverture_partielle
FIX,2514,2016-09-06,2026-09-04,2514,2513,1.015358350731077e-07,0,couverture_partielle
FLEX,2514,2016-09-06,2026-09-04,2514,2513,0.07651820246976393,2,couverture_partielle
GLW,2514,2016-09-06,2026-09-04,2514,2513,1.0766620728297482e-07,0,couverture_partielle
HAL,2514,2016-09-06,2026-09-04,2514,2513,1.1027564461585371e-07,0,couverture_partielle
HPE,2514,2016-09-06,2026-09-04,2514,2513,0.013448172245177692,2,couverture_partielle
IBM,2514,2016-09-06,2026-09-04,2514,2513,0.012208301398181298,1,couverture_partielle
JBL,2514,2016-09-06,2026-09-04,2514,2513,1.112758257759694e-07,0,couverture_partielle
JCI,2514,2016-09-06,2026-09-04,2514,2513,0.10482589688841926,1,couverture_partielle
LITE,2514,2016-09-06,2026-09-04,2514,2513,0.000640380791208317,0,couverture_partielle
MMM,2514,2016-09-06,2026-09-04,2514,2513,0.02750983452748401,1,couverture_partielle
MRVL,2514,2016-09-06,2026-09-04,2514,2513,0.0004833232260434972,0,couverture_partielle
NTAP,2514,2016-09-06,2026-09-04,2514,2513,0.0004801907980214182,0,couverture_partielle
NVDA,2514,2016-09-06,2026-09-04,2514,2513,0.00023451721238809675,0,couverture_partielle
O,2514,2016-09-06,2026-09-04,2514,2513,0.012522592862103,1,couverture_partielle
ON,2514,2016-09-06,2026-09-04,2514,2513,0.0004142825503745673,0,couverture_partielle
ORCL,2514,2016-09-06,2026-09-04,2514,2513,1.1531410493148542e-07,0,couverture_partielle
PLD,2514,2016-09-06,2026-09-04,2514,2513,1.0995772026234363e-07,0,couverture_partielle
PWR,2514,2016-09-06,2026-09-04,2514,2513,1.1405369737538251e-07,0,couverture_partielle
RSP,2514,2016-09-06,2026-09-04,2514,2513,0.00019980797064211853,0,couverture_partielle
SMCI,2514,2016-09-06,2026-09-04,2514,2513,0.026647460343822926,4,couverture_partielle
SNDK,392,2025-02-13,2026-09-04,392,391,1.0993674282033794e-07,0,couverture_partielle
SNPS,2514,2016-09-06,2026-09-04,2514,2513,0.0001315776689896353,0,couverture_partielle
SPY,2514,2016-09-06,2026-09-04,2514,2513,0.001999667552905704,2,couverture_partielle
SWKS,2514,2016-09-06,2026-09-04,2514,2513,0.0004927743579790089,0,couverture_partielle
TDY,2514,2016-09-06,2026-09-04,2514,2513,1.088440086949305e-07,0,couverture_partielle
TSLA,2514,2016-09-06,2026-09-04,2514,2513,2.3659971338796382e-05,0,couverture_partielle
VRT,2037,2018-07-30,2026-09-04,2034,2033,0.007467325776309042,4,couverture_partielle
WDC,2514,2016-09-06,2026-09-04,2514,2513,0.012110178632499635,1,couverture_partielle
WMB,2514,2016-09-06,2026-09-04,2514,2513,1.0141047690481741e-07,0,couverture_partielle
XEL,2514,2016-09-06,2026-09-04,2514,2513,0.0007022471910113071,0,couverture_partielle
ACN,2514,2016-09-06,2026-09-04,2514,2513,1.0577365294750507e-07,0,couverture_partielle
APD,2514,2016-09-06,2026-09-04,2514,2513,0.0055298622515722595,1,couverture_partielle
APP,1355,2021-04-15,2026-09-04,1355,1354,1.0397393190864079e-07,0,couverture_partielle
EMR,2514,2016-09-06,2026-09-04,2514,2513,1.0752309154149486e-07,0,couverture_partielle
EXPD,2514,2016-09-06,2026-09-04,2514,2513,0.0005326191244535705,0,couverture_partielle
FSLR,2514,2016-09-06,2026-09-04,2514,2513,0.00015427796256894943,0,couverture_partielle
HD,2514,2016-09-06,2026-09-04,2514,2513,1.0391988169988764e-07,0,couverture_partielle
ITW,2514,2016-09-06,2026-09-04,2514,2513,1.1167270641543325e-07,0,couverture_partielle
LDOS,2514,2016-09-06,2026-09-04,2514,2513,1.0901309011046578e-07,0,couverture_partielle
