fichier,test,date,detail,titre,nasdaq,yahoo,rn,ry,ecart_r,statut,dans_historique_admissible
AES.csv,variation quotidienne extreme,2001-09-26,-49.5 %,AES,,,,,,non_corroboré,True
AES.csv,variation quotidienne extreme,2002-02-19,-32.1 %,AES,,,,,,non_corroboré,True
AES.csv,variation quotidienne extreme,2002-07-29,+41.0 %,AES,,,,,,non_corroboré,True
AES.csv,variation quotidienne extreme,2002-08-22,+30.7 %,AES,,,,,,non_corroboré,True
AES.csv,variation quotidienne extreme,2002-10-31,+39.4 %,AES,,,,,,non_corroboré,True
AKAM.csv,variation quotidienne extreme,2000-04-18,+30.7 %,AKAM,,,,,,non_corroboré,True
AKAM.csv,variation quotidienne extreme,2000-10-19,+30.8 %,AKAM,,,,,,non_corroboré,True
AKAM.csv,variation quotidienne extreme,2000-12-05,+42.5 %,AKAM,,,,,,non_corroboré,True
AKAM.csv,variation quotidienne extreme,2001-04-19,+39.4 %,AKAM,,,,,,non_corroboré,True
AKAM.csv,variation quotidienne extreme,2002-11-21,+45.7 %,AKAM,,,,,,non_corroboré,True
AKAM.csv,variation quotidienne extreme,2003-04-23,+35.6 %,AKAM,,,,,,non_corroboré,True
AKAM.csv,variation quotidienne extreme,2003-10-30,+34.2 %,AKAM,,,,,,non_corroboré,True
AMD.csv,variation quotidienne extreme,2002-10-03,-32.4 %,AMD,,,,,,non_corroboré,True
AMD.csv,variation quotidienne extreme,2016-04-22,+52.3 %,AMD,,,,,,non_corroboré,True
AMT.csv,variation quotidienne extreme,2001-11-06,-35.4 %,AMT,,,,,,non_corroboré,True
AMT.csv,variation quotidienne extreme,2002-11-18,+34.7 %,AMT,,,,,,non_corroboré,True
AMZN.csv,variation quotidienne extreme,2001-04-09,+33.6 %,AMZN,,,,,,non_corroboré,True
AMZN.csv,variation quotidienne extreme,2001-11-14,+30.2 %,AMZN,,,,,,non_corroboré,True
AMZN.csv,variation quotidienne extreme,2001-11-26,+34.5 %,AMZN,,,,,,non_corroboré,True
APP.csv,variation quotidienne extreme,2022-05-12,+34.7 %,APP,36.74,36.7400016784668,0.346774193548387,0.3467742211770648,-2.7628677790048073e-08,rendement_prix_concordant,True
APP.csv,variation quotidienne extreme,2024-11-07,+46.3 %,APP,246.53,246.52999877929688,0.4626520320379708,0.4626519983128876,3.3725083170565995e-08,rendement_prix_concordant,True
CBRE.csv,variation quotidienne extreme,2008-11-13,+43.0 %,CBRE,,,,,,non_corroboré,True
CBRE.csv,variation quotidienne extreme,2008-11-24,+45.0 %,CBRE,,,,,,non_corroboré,True
CBRE.csv,variation quotidienne extreme,2009-03-25,+64.0 %,CBRE,,,,,,non_corroboré,True
CDNS.csv,variation quotidienne extreme,2008-01-31,-33.0 %,CDNS,,,,,,non_corroboré,True
CDNS.csv,variation quotidienne extreme,2008-07-24,-30.8 %,CDNS,,,,,,non_corroboré,True
CIEN.csv,variation quotidienne extreme,2001-08-16,-30.2 %,CIEN,,,,,,non_corroboré,True
CNP.csv,variation quotidienne extreme,2002-07-23,-42.2 %,CNP,,,,,,non_corroboré,True
CNP.csv,variation quotidienne extreme,2002-07-24,-31.6 %,CNP,,,,,,non_corroboré,True
CNP.csv,variation quotidienne extreme,2002-07-25,+63.0 %,CNP,,,,,,non_corroboré,True
COHR.csv,variation quotidienne extreme,2000-03-02,+71.4 %,COHR,,,,,,non_corroboré,True
COHR.csv,variation quotidienne extreme,2000-08-18,+66.5 %,COHR,,,,,,non_corroboré,True
DELL.csv,variation quotidienne extreme,2024-03-01,+31.6 %,DELL,124.59,124.58999633789062,0.3161842383266429,0.3161841487204766,8.960616626474405e-08,rendement_prix_concordant,True
DELL.csv,variation quotidienne extreme,2026-05-29,+32.8 %,DELL,420.91,420.9100036621094,0.3275824002523262,0.32758246291736315,-6.266503693730385e-08,rendement_prix_concordant,True
EQIX.csv,variation quotidienne extreme,2000-10-13,+45.8 %,EQIX,,,,,,non_corroboré,True
EQIX.csv,variation quotidienne extreme,2001-04-06,-42.4 %,EQIX,,,,,,non_corroboré,True
EQIX.csv,variation quotidienne extreme,2001-04-09,+54.9 %,EQIX,,,,,,non_corroboré,True
EQIX.csv,variation quotidienne extreme,2001-05-02,+31.1 %,EQIX,,,,,,non_corroboré,True
EQIX.csv,variation quotidienne extreme,2001-07-16,+32.0 %,EQIX,,,,,,non_corroboré,True
EQIX.csv,variation quotidienne extreme,2002-09-27,+32.0 %,EQIX,,,,,,non_corroboré,True
EQIX.csv,variation quotidienne extreme,2003-01-07,+36.5 %,EQIX,,,,,,non_corroboré,True
EQIX.csv,variation quotidienne extreme,2003-05-05,+32.8 %,EQIX,,,,,,non_corroboré,True
EQIX.csv,variation quotidienne extreme,2010-10-06,-33.1 %,EQIX,,,,,,non_corroboré,True
FIX.csv,variation quotidienne extreme,2001-05-10,+30.0 %,FIX,,,,,,non_corroboré,True
FLEX.csv,variation quotidienne extreme,2018-10-26,-35.0 %,FLEX,5.1573,5.342878818511963,-0.35013041999017125,-0.35013743309590317,7.013105731923375e-06,rendement_prix_concordant,True
FLEX.csv,variation quotidienne extreme,2026-05-06,+39.7 %,FLEX,134.73,134.72999572753906,0.39688958009331254,0.39688957999489616,9.841638615171178e-11,rendement_prix_concordant,True
FSLR.csv,variation quotidienne extreme,2007-11-08,+34.3 %,FSLR,,,,,,non_corroboré,True
FSLR.csv,variation quotidienne extreme,2008-02-13,+30.1 %,FSLR,,,,,,non_corroboré,True
FSLR.csv,variation quotidienne extreme,2013-04-09,+45.5 %,FSLR,,,,,,non_corroboré,True
GLW.csv,variation quotidienne extreme,2002-07-31,-35.2 %,GLW,,,,,,non_corroboré,True
HAL.csv,variation quotidienne extreme,2001-12-07,-42.4 %,HAL,,,,,,non_corroboré,True
HAL.csv,variation quotidienne extreme,2020-03-09,-37.6 %,HAL,8.15,8.149999618530273,-0.37643458301453714,-0.3764345976413672,1.4626830080466391e-08,rendement_prix_concordant,True
JBL.csv,variation quotidienne extreme,2009-03-25,+36.5 %,JBL,,,,,,non_corroboré,True
