cik,nom,symboles,secteur,sous_secteur,annee,chiffre_affaires,ca_etiquette,ca_nb_etiquettes,ca_ecart_relatif,fin_exercice,ca_depot,capex,capex_etiquette,rd,rd_etiquette
0001674101,Vertiv,VRT,Industrials,Electrical Components & Equipment,2019,4431200000.0,RevenueFromContractWithCustomerExcludingAssessedTax,2.0,1.0,2019-12-31,0001628280-22-004533,47600000.0,PaymentsToAcquirePropertyPlantAndEquipment,229400000.0,ResearchAndDevelopmentExpense
0001674101,Vertiv,VRT,Industrials,Electrical Components & Equipment,2018,4285600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,2.0,1.0,2018-12-31,0001628280-21-003604,64600000.0,PaymentsToAcquirePropertyPlantAndEquipment,198300000.0,ResearchAndDevelopmentExpense
0001551182,Eaton Corporation,ETN,Industrials,Electrical Components & Equipment,2015,20855000000.0,SalesRevenueNet,2.0,1.0,2015-12-31,0001551182-18-000074,506000000.0,PaymentsToAcquirePropertyPlantAndEquipment,625000000.0,ResearchAndDevelopmentExpense
0001551182,Eaton Corporation,ETN,Industrials,Electrical Components & Equipment,2014,22552000000.0,SalesRevenueNet,2.0,1.0,2014-12-31,0001551182-17-000014,632000000.0,PaymentsToAcquirePropertyPlantAndEquipment,647000000.0,ResearchAndDevelopmentExpense
0001551182,Eaton Corporation,ETN,Industrials,Electrical Components & Equipment,2016,19747000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,3.0,1.0,2016-12-31,0001551182-19-000045,497000000.0,PaymentsToAcquirePropertyPlantAndEquipment,587000000.0,ResearchAndDevelopmentExpense
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2022,1517386000.0,Revenues,2.0,0.9966903609233247,2022-12-31,0000074208-25-000010,214833000.0,PaymentsForCapitalImprovements,,
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2020,1241165000.0,Revenues,2.0,0.9959159338202415,2020-12-31,0000074208-23-000007,163105000.0,PaymentsForCapitalImprovements,,
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2023,1627501000.0,Revenues,2.0,0.9957953942885442,2023-12-31,0000074208-26-000013,295440000.0,PaymentsForCapitalImprovements,,
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2021,1290767000.0,Revenues,2.0,0.9952725782422389,2021-12-31,0000074208-24-000011,156384000.0,PaymentsForCapitalImprovements,,
0000920522,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,2025,1887345000.0,Revenues,2.0,0.9950295256034271,2025-12-31,0000920522-26-000003,61878000.0,PaymentsToDevelopRealEstateAssets,,
