rang,cik,nom,symboles,secteur,sous_secteur,n_actifs,total,densite,score
1,0001045810,Nvidia,NVDA,Information Technology,Semiconductors,10,200,55.49020043060396,0.9969879518072289
2,0000002488,Advanced Micro Devices,AMD,Information Technology,Semiconductors,9,197,46.33222794515393,0.9919678714859438
3,0001341439,Oracle Corporation,ORCL,Information Technology,Application Software,9,111,24.036535534011698,0.9879518072289157
4,0001086222,Akamai Technologies,AKAM,Information Technology,Internet Services & Infrastructure,10,60,14.699145244704022,0.9859437751004017
5,0000050863,Intel,INTC,Information Technology,Semiconductors,8,103,18.023819439826692,0.982429718875502
6,0001375365,Supermicro,SMCI,Information Technology,"Technology Hardware, Storage & Peripherals",8,115,15.283366912440925,0.981425702811245
7,0001101239,Equinix,EQIX,Real Estate,Data Center REITs,6,321,59.59298547861892,0.9774096385542168
8,0000789019,Microsoft,MSFT,Information Technology,Systems Software,7,51,14.2589537842145,0.9769076305220883
9,0001730168,Broadcom,AVGO,Information Technology,Semiconductors,7,50,12.50988280741786,0.9718875502008032
10,0001835632,Marvell Technology,MRVL,Information Technology,Semiconductors,6,89,18.446436935984647,0.9683734939759037
11,0000813672,Cadence Design Systems,CDNS,Information Technology,Application Software,9,49,10.225290273036117,0.9668674698795181
12,0000723125,Micron Technology,MU,Information Technology,Semiconductors,6,55,14.130281192595731,0.9633534136546185
13,0000796343,Adobe Inc.,ADBE,Information Technology,Application Software,6,51,13.74192661811186,0.9623493975903614
14,0000866374,Flex Ltd.,FLEX,Information Technology,Electronic Manufacturing Services,6,62,12.978666839715558,0.9613453815261044
15,0001674101,Vertiv,VRT,Industrials,Electrical Components & Equipment,6,54,12.679181488395026,0.9603413654618473
16,0001652044,Alphabet Inc. (Class A),GOOG|GOOGL,Communication Services,Interactive Media & Services,6,44,11.456543248450762,0.9553212851405622
17,0001002047,NetApp,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",7,31,8.282370040263006,0.9518072289156627
18,0000858877,Cisco,CSCO,Information Technology,Communications Equipment,6,45,10.29925044343995,0.9513052208835342
19,0001108524,Salesforce,CRM,Information Technology,Application Software,6,45,10.267338682997059,0.9503012048192772
20,0001645590,Hewlett Packard Enterprise,HPE,Information Technology,"Technology Hardware, Storage & Peripherals",10,54,7.180144507056486,0.9487951807228916
21,0001262039,Fortinet,FTNT,Information Technology,Systems Software,6,55,10.055910864406098,0.9482931726907631
22,0001020569,Iron Mountain,IRM,Real Estate,Other Specialized REITs,5,277,51.37202246274138,0.947289156626506
23,0001561550,Datadog,DDOG,Information Technology,Application Software,6,38,9.266258626155235,0.946285140562249
24,0001609711,GoDaddy,GDDY,Information Technology,Internet Services & Infrastructure,6,48,9.250711630264474,0.945281124497992
25,0001596532,Arista Networks,ANET,Information Technology,Communications Equipment,6,39,9.11142572786274,0.9442771084337349
26,0000804328,Qualcomm,QCOM,Information Technology,Semiconductors,6,34,8.424265850008425,0.9402610441767069
27,0001633978,Lumentum,LITE,Information Technology,Communications Equipment,6,43,7.62660158633313,0.9362449799196787
28,0001327811,"Workday, Inc.",WDAY,Information Technology,Application Software,6,29,7.31527050104558,0.9322289156626506
29,0001535527,CrowdStrike,CRWD,Information Technology,Systems Software,5,68,12.24867696276042,0.9302208835341366
30,0001326801,Meta Platforms,META,Communication Services,Interactive Media & Services,5,63,11.759259950573778,0.9292168674698795
31,0001373715,ServiceNow,NOW,Information Technology,Systems Software,5,39,10.488100040338846,0.9252008032128514
32,0000106040,Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",6,23,5.846332951203455,0.9221887550200804
33,0002023554,Sandisk,SNDK,Information Technology,"Technology Hardware, Storage & Peripherals",5,42,9.475144665155156,0.9191767068273092
34,0001551182,Eaton Corporation,ETN,Industrials,Electrical Components & Equipment,5,33,9.08147736372968,0.9151606425702812
35,0000833444,Johnson Controls,JCI,Industrials,Building Products,6,26,5.122688386865427,0.9131526104417671
36,0001713445,Reddit,RDDT,Communication Services,Interactive Media & Services,5,33,7.475162075104992,0.9071285140562249
37,0000779152,Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services,5,20,7.397927100826348,0.9051204819277108
38,0000814547,Fair Isaac,FICO,Information Technology,Application Software,5,28,7.273048420319857,0.9011044176706827
39,0001327567,Palo Alto Networks,PANW,Information Technology,Systems Software,5,32,6.881424454862157,0.8990963855421686
40,0000024741,Corning Inc.,GLW,Information Technology,Electronic Components,5,27,6.476575187041092,0.8970883534136547
41,0001297996,Digital Realty,DLR,Real Estate,Data Center REITs,4,463,63.87281721889753,0.893574297188755
42,0000029905,Dover Corporation,DOV,Industrials,Industrial Machinery & Supplies & Components,5,24,5.83373845405931,0.8930722891566265
43,0001176948,Ares Management,ARES,Financials,Asset Management & Custody Banks,5,61,5.76232215915156,0.8920682730923695
44,0001402057,CDW Corporation,CDW,Information Technology,Technology Distributors,5,19,5.685728820660143,0.8890562248995983
45,0001053507,American Tower,AMT,Real Estate,Telecom Tower REITs,4,220,35.87502446024395,0.8885542168674698
