ticker,premiere_cotation,nom_yahoo
NVDA,1999-01-22,NVIDIA Corporation
AMD,1980-03-17,"Advanced Micro Devices, Inc."
ORCL,1986-03-12,Oracle Corporation
AKAM,1999-10-29,"Akamai Technologies, Inc."
INTC,1980-03-17,Intel Corporation
SMCI,2007-03-29,"Super Micro Computer, Inc."
EQIX,2000-08-11,"Equinix, Inc."
MSFT,1986-03-13,Microsoft Corporation
AVGO,2009-08-06,Broadcom Inc.
MRVL,2000-06-30,"Marvell Technology, Inc."
CDNS,1987-06-10,"Cadence Design Systems, Inc."
MU,1984-06-01,"Micron Technology, Inc."
FLEX,1994-03-18,Flex Ltd.
VRT,2018-08-02,"Vertiv Holdings, LLC"
GOOG,2004-08-19,Alphabet Inc.
NTAP,1995-11-21,"NetApp, Inc."
CSCO,1990-02-16,"Cisco Systems, Inc."
HPE,2015-10-19,Hewlett Packard Enterprise Comp
IRM,1996-02-01,Iron Mountain Incorporated (Del
ANET,2014-06-06,"Arista Networks, Inc."
LITE,2015-07-23,Lumentum Holdings Inc.
META,2012-05-18,"Meta Platforms, Inc."
WDC,1978-10-31,Western Digital Corporation
SNDK,2025-02-13,Sandisk Corporation
ETN,1972-06-01,
GLW,1981-12-31,Corning Incorporated
DLR,2004-10-29,"Digital Realty Trust, Inc."
DOV,1980-03-17,Dover Corporation
AMT,1998-02-27,American Tower Corporation (REI
COHR,1987-10-02,Coherent Corp.
SNPS,1992-02-26,"Synopsys, Inc."
AMZN,1997-05-15,"Amazon.com, Inc."
LRCX,1984-05-04,Lam Research Corporation
TER,1973-02-21,
GNRC,2010-02-11,Generac Holdlings Inc.
STX,2002-12-11,Seagate Technology Holdings PLC
CIEN,1997-02-07,Ciena Corporation
DELL,2016-08-17,Dell Technologies Inc.
CEG,2022-01-19,Constellation Energy Corporatio
MCHP,1993-03-19,Microchip Technology Incorporat
JBL,1993-05-03,Jabil Inc.
NI,1973-02-21,
TEL,2007-06-14,TE Connectivity plc
WEC,1980-03-17,"WEC Energy Group, Inc."
Q,2025-10-27,"Qnity Electronics, Inc."
ETR,1972-06-01,
TSLA,2010-06-29,"Tesla, Inc."
NRG,2003-12-02,"NRG Energy, Inc."
KEYS,2014-10-20,Keysight Technologies Inc.
PWR,1998-02-12,"Quanta Services, Inc."
CMI,1973-02-21,
AES,1991-06-26,The AES Corporation
GEV,2024-03-27,GE Vernova Inc.
FE,1997-11-10,FirstEnergy Corp.
PPL,1980-03-17,PPL Corporation
TPL,1980-03-17,Texas Pacific Land Corporation
EVRG,1973-02-21,
HUBB,1972-06-05,
IEX,1989-06-02,IDEX Corporation
PLD,1997-11-21,"Prologis, Inc."
PEG,1980-01-02,Public Service Enterprise Group
LNT,1973-02-21,
DUK,1980-03-17,Duke Energy Corporation (Holdin
PNW,1973-02-21,
XEL,1973-02-21,
CMS,1973-02-21,
EME,1995-01-10,"EMCOR Group, Inc."
AEE,1998-01-02,Ameren Corporation
FIX,1997-06-27,"Comfort Systems USA, Inc."
VST,2016-10-05,Vistra Corp.
NEE,1973-02-21,
CNP,1962-01-02,
D,1980-03-17,"Dominion Energy, Inc."
WMB,1981-12-31,"Williams Companies, Inc. (The)"
HWM,2016-11-01,Howmet Aerospace Inc.
SO,1981-12-31,Southern Company (The)
ED,1962-01-02,
AEP,1962-01-02,
PCG,1972-06-01,
SRE,1998-06-29,DBA Sempra
DTE,1962-01-02,
OKE,1980-10-01,"ONEOK, Inc."
